iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
85,2578.681,-2.558000,0.049000,-104.166900,-99.487456,-99.487456,-4.679444,22.999,10.196,0
86,2603.662,-3.441000,0.025000,-141.774900,-137.074972,-137.074972,-4.699928,26.972,8.188,0
87,2631.366,-3.883000,-0.025000,-149.566900,-143.975942,-143.975942,-5.590958,30.097,5.758,0
88,2662.186,-3.441000,-0.074000,-110.139800,-102.845548,-102.845548,-7.294252,30.097,6.466,0
89,2691.566,-3.883000,-0.246000,-174.904900,-169.421062,-169.421062,-5.483838,30.063,5.759,0
90,2722.478,-2.558000,-0.444000,-74.282300,-65.484833,-65.484833,-8.797467,30.777,5.915,0
91,2752.210,-1.233000,-0.542000,-37.659000,-29.047954,-29.047954,-8.611046,29.987,5.684,0
92,2782.500,-0.349000,-0.887000,-39.063200,-31.770003,-31.770003,-7.293197,30.000,5.958,0
93,2813.025,0.976000,-1.010000,20.291800,28.103429,28.103429,-7.811629,30.005,6.457,0
94,2842.881,2.301000,-1.084000,66.262900,73.601424,73.601424,-7.338524,30.012,6.293,0
95,2873.392,3.185000,-1.183000,81.710100,87.716682,87.716682,-6.006582,30.008,6.803,0
96,2902.258,4.510000,-1.183000,153.203800,159.582970,159.582970,-6.379170,29.981,5.689,0
97,2933.411,4.951000,-1.183000,144.215000,148.338449,148.338449,-4.123449,30.010,6.777,0
98,2962.344,4.951000,-1.183000,138.834200,141.591404,141.591404,-2.757204,29.998,5.775,0
99,2992.227,4.068000,-1.035000,90.208700,90.814523,90.814523,-0.605823,30.006,5.660,0
100,3021.957,3.185000,-0.936000,72.644600,72.907770,72.907770,-0.263170,30.003,5.374,0
101,3052.169,1.859000,-0.764000,22.442700,21.495527,21.495527,0.947173,30.007,5.618,0
102,3083.079,0.534000,-0.616000,-14.275900,-15.447072,-15.447072,1.171172,29.995,6.494,0
103,3111.901,-0.349000,-0.444000,-20.536800,-21.002812,-21.002812,0.466012,30.046,5.308,0
104,3142.210,-1.674000,-0.370000,-82.912800,-84.386755,-84.386755,1.473955,30.067,5.501,0
105,3172.828,-2.999000,-0.394000,-133.863700,-135.515894,-135.515894,1.652194,30.071,5.853,0
106,3203.402,-3.441000,-0.419000,-122.085100,-122.069717,-122.069717,-0.015383,30.826,5.799,0
107,3232.527,-3.441000,-0.493000,-115.423900,-114.772311,-114.772311,-0.651589,30.003,4.929,0
108,3262.785,-3.441000,-0.690000,-130.374400,-129.987059,-129.987059,-0.387341,30.001,5.185,0
109,3292.472,-2.558000,-0.764000,-75.120800,-73.251864,-73.251864,-1.868936,30.004,4.869,0
110,3322.460,-1.674000,-0.862000,-54.076000,-52.580606,-52.580606,-1.495394,29.996,4.855,0
111,3352.415,-1.233000,-1.060000,-67.112500,-66.930028,-66.930028,-0.182472,30.005,4.813,0
112,3382.222,-0.349000,-1.183000,-25.560300,-24.993349,-24.993349,-0.566951,30.001,4.600,0
113,3412.119,0.976000,-1.380000,30.649700,31.554116,31.554116,-0.904416,30.004,4.422,0
114,3443.808,2.301000,-1.602000,71.907000,72.151423,72.151423,-0.244423,30.001,6.157,0
115,3473.919,2.743000,-1.676000,55.644900,53.463271,53.463271,2.181629,30.014,6.254,0
116,3504.010,3.185000,-1.626000,79.460800,76.653941,76.653941,2.806859,30.022,6.193,0
117,3532.670,4.510000,-1.528000,171.387000,169.704486,169.704486,1.682514,29.956,4.995,0
