iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
99,2996.546,103.940,0.000,50285.380,50284.367,0.000,1.013,29.987,3.933,1
100,3027.608,103.980,0.000,50754.650,50753.639,0.000,1.011,30.022,4.977,1
101,3057.720,103.900,0.000,51213.480,51212.502,0.000,0.978,30.028,5.013,1
102,3086.444,103.900,0.000,51685.030,51684.018,0.000,1.012,29.978,3.794,1
103,3117.158,103.980,0.000,52159.660,52158.641,0.000,1.019,29.993,4.487,1
104,3147.038,103.900,0.000,52616.490,52615.511,0.000,0.979,30.000,4.387,1
105,3177.862,103.980,0.000,53095.120,53094.117,0.000,1.003,30.002,4.818,1
106,3207.015,103.900,0.000,53551.950,53550.942,0.000,1.008,30.016,3.903,1
107,3237.201,103.810,0.000,54015.535,54014.495,0.000,1.040,30.005,4.010,1
108,3267.170,103.810,0.000,54487.180,54486.216,0.000,0.964,30.006,4.052,1
109,3297.047,103.940,0.000,54965.830,54964.811,0.000,1.019,30.020,3.949,1
110,3328.482,103.850,0.000,55419.095,55418.116,0.000,0.979,29.968,5.284,1
111,3357.094,103.900,0.000,55895.345,55894.286,0.000,1.059,29.997,4.066,1
112,3386.902,103.850,0.000,56355.970,56354.991,0.000,0.979,30.006,3.910,1
113,3417.039,103.720,0.000,56814.290,56813.292,0.000,0.998,30.024,3.944,1
114,3446.964,103.850,0.000,57299.035,57298.023,0.000,1.012,30.010,4.034,1
115,3477.083,103.850,0.000,57759.860,57758.870,0.000,0.990,30.019,4.038,1
116,3508.309,103.850,0.000,58227.185,58226.173,0.000,1.012,29.995,5.040,1
117,3538.252,103.900,0.000,58698.935,58697.929,0.000,1.006,30.012,5.220,1
118,3569.030,103.850,0.000,59159.560,59158.557,0.000,1.003,29.957,6.159,1
119,3597.168,103.850,0.000,59629.385,59628.357,0.000,1.028,30.004,4.025,1
120,3627.896,103.900,0.000,60101.135,60100.100,0.000,1.035,30.563,4.271,1
121,3660.220,103.850,0.000,60561.760,60560.749,0.000,1.011,29.617,5.788,1
122,3686.663,103.850,0.000,61031.585,61030.594,0.000,0.991,29.809,3.771,1
123,3717.669,103.940,0.000,61506.875,61505.884,0.000,0.991,30.008,4.712,1
124,3747.220,103.900,0.000,61966.565,61965.580,0.000,0.985,29.993,4.340,1
125,3776.932,103.900,0.000,62436.115,62435.111,0.000,1.004,30.015,3.929,1
126,3807.237,103.810,0.000,62895.700,62894.744,0.000,0.956,30.017,4.358,1
127,3835.680,103.850,0.000,63370.885,63369.834,0.000,1.051,29.989,2.658,1
128,3866.046,103.850,0.000,63836.210,63835.251,0.000,0.959,30.013,3.162,1
129,3896.504,103.900,0.000,64307.960,64306.927,0.000,1.033,29.990,3.495,1
130,3925.542,103.850,0.000,64768.585,64767.588,0.000,0.997,29.993,2.653,1
131,3956.235,103.940,0.000,65246.375,65245.425,0.000,0.950,30.014,3.198,1
132,3988.043,103.900,0.000,65706.065,65705.030,0.000,1.035,29.997,5.154,1
133,4017.081,103.900,0.000,66175.615,66174.643,0.000,0.972,30.001,4.044,1
134,4047.097,103.900,0.000,66643.165,66642.197,0.000,0.968,29.997,4.182,1
135,4076.884,103.900,0.000,67110.715,67109.693,0.000,1.022,30.007,3.829,1
136,4107.067,103.900,0.000,67578.265,67577.295,0.000,0.970,29.998,4.113,1
137,4138.349,103.850,0.000,68041.390,68040.371,0.000,1.019,30.050,5.159,1
138,4167.871,103.940,0.000,68519.180,68518.216,0.000,0.964,29.957,4.610,1
139,4197.263,103.810,0.000,68970.905,68969.932,0.000,0.973,30.019,4.034,1
140,4227.103,103.810,0.000,69444.550,69443.537,0.000,1.013,29.977,3.998,1
141,4256.955,103.980,0.000,69926.740,69925.745,0.000,0.995,30.019,3.852,1
142,4287.373,103.900,0.000,70379.070,70378.060,0.000,1.010,29.996,4.440,1
143,4317.443,103.760,0.000,70838.230,70837.282,0.000,0.948,30.016,4.518,1
144,4347.079,103.810,0.000,71316.575,71315.555,0.000,1.020,29.983,4.141,1
145,4377.803,103.850,0.000,71784.760,71783.774,0.000,0.986,30.057,4.536,1
146,4407.897,103.760,0.000,72242.120,72241.130,0.000,0.990,30.033,4.740,1
147,4436.999,103.900,0.000,72725.930,72724.934,0.000,0.996,29.912,3.985,1
148,4467.349,103.810,0.000,73178.515,73177.516,0.000,0.999,30.004,4.336,1
149,4497.719,103.940,0.000,73661.665,73660.636,0.000,1.029,30.077,4.595,1
150,4527.836,103.850,0.000,74114.930,74113.973,0.000,0.957,30.424,4.428,1
151,4557.758,103.850,0.000,74586.755,74585.791,0.000,0.964,29.526,4.717,1
152,4587.169,103.900,0.000,75058.505,75057.482,0.000,1.023,30.029,3.981,1
153,4618.224,103.810,0.000,75515.590,75514.625,0.000,0.965,30.369,4.115,1
154,4647.702,103.900,0.000,75995.200,75994.213,0.000,0.987,29.590,4.600,1
155,4677.632,103.850,0.000,76453.825,76452.879,0.000,0.946,30.037,4.625,1
156,4706.811,103.850,0.000,76923.650,76922.670,0.000,0.980,29.984,3.827,1
157,4736.963,103.850,0.000,77390.975,77389.993,0.000,0.982,29.982,3.951,1
158,4767.336,103.900,0.000,77862.725,77861.728,0.000,0.997,29.994,4.283,1
159,4797.124,103.900,0.000,78327.775,78326.834,0.000,0.941,30.038,4.058,1
160,4830.939,103.810,0.000,78787.360,78786.403,0.000,0.957,31.479,6.401,1
161,4857.233,103.810,0.000,79259.005,79258.024,0.000,0.981,28.564,4.061,1
162,4886.922,103.760,0.000,79721.725,79720.754,0.000,0.971,29.960,3.932,1
163,4917.336,103.850,0.000,80199.110,80198.122,0.000,0.988,29.992,4.351,1
164,4947.352,103.900,0.000,80666.360,80665.404,0.000,0.956,29.985,4.419,1
165,4978.874,103.810,0.000,81123.445,81122.431,0.000,1.014,29.985,5.942,1
166,5007.353,103.900,0.000,81603.055,81602.097,0.000,0.958,30.008,4.249,1
167,5037.193,103.810,0.000,82058.140,82057.154,0.000,0.986,30.034,4.027,1
168,5066.820,103.900,0.000,82537.750,82536.753,0.000,0.997,29.966,3.844,1
169,5097.697,103.850,0.000,82996.375,82995.405,0.000,0.970,30.009,4.692,1
170,5126.894,103.850,0.000,83466.200,83465.203,0.000,0.997,30.002,3.925,1
171,5156.924,103.980,0.000,83945.030,83944.054,0.000,0.976,29.996,3.937,1
172,5186.840,103.900,0.000,84399.360,84398.382,0.000,0.978,30.011,3.846,1
173,5216.936,103.900,0.000,84870.910,84869.924,0.000,0.986,30.002,3.848,1
174,5246.912,103.760,0.000,85326.070,85325.096,0.000,0.974,30.019,3.873,1
175,5277.113,103.900,0.000,85812.380,85811.436,0.000,0.944,29.968,4.139,1
176,5307.122,103.900,0.000,86272.930,86271.930,0.000,1.000,30.037,4.140,1
177,5337.301,103.810,0.000,86732.515,86731.540,0.000,0.975,30.011,4.226,1
178,5367.011,103.900,0.000,87212.125,87211.141,0.000,0.984,30.001,3.946,1
179,5396.966,103.940,0.000,87678.715,87677.728,0.000,0.987,30.010,3.875,1
180,5426.961,103.810,0.000,88132.940,88131.966,0.000,0.974,29.982,3.967,1
181,5457.078,103.850,0.000,88610.125,88609.156,0.000,0.969,30.033,3.953,1
182,5487.831,103.900,0.000,89079.875,89078.871,0.000,1.004,29.976,4.811,1
183,5516.935,103.940,0.000,89548.465,89547.517,0.000,0.948,29.983,3.891,1
184,5546.778,103.850,0.000,90006.230,90005.257,0.000,0.973,29.986,3.789,1
185,5577.315,103.900,0.000,90482.480,90481.509,0.000,0.971,29.996,4.023,1
186,5609.413,103.850,0.000,90943.105,90942.125,0.000,0.980,30.012,6.253,1
187,5637.191,103.900,0.000,91417.355,91416.385,0.000,0.970,30.008,4.211,1
188,5667.217,103.850,0.000,91877.980,91876.998,0.000,0.982,30.002,4.137,1
189,5697.006,103.900,0.000,92352.230,92351.224,0.000,1.006,30.016,4.011,1
190,5727.248,103.810,0.000,92809.315,92808.323,0.000,0.992,29.988,4.205,1
191,5757.624,103.940,0.000,93292.465,93291.475,0.000,0.990,30.009,4.610,1
192,5787.113,103.850,0.000,93745.730,93744.708,0.000,1.022,29.990,4.054,1
193,5817.170,103.850,0.000,94217.555,94216.636,0.000,0.919,30.024,4.156,1
194,5847.423,103.940,0.000,94692.845,94691.890,0.000,0.955,29.983,4.332,1
195,5878.380,103.850,0.000,95148.110,95147.122,0.000,0.988,29.999,5.378,1
196,5907.008,103.810,0.000,95616.395,95615.443,0.000,0.952,30.004,3.918,1
197,5937.059,103.810,0.000,96085.540,96084.574,0.000,0.966,29.996,4.069,1
198,5967.040,103.900,0.000,96560.650,96559.678,0.000,0.972,30.006,4.039,1
199,5997.419,103.940,0.000,97027.240,97026.262,0.000,0.978,29.998,4.409,1
200,6027.671,103.900,0.000,97489.430,97488.440,0.000,0.990,30.001,4.664,1
201,6057.138,103.850,0.000,97954.555,97953.562,0.000,0.993,30.005,4.124,1
202,6086.789,103.850,0.000,98424.380,98423.431,0.000,0.949,30.004,3.770,1
203,6117.288,103.900,0.000,98896.130,98895.131,0.000,0.999,30.014,4.215,1
204,6149.577,103.980,0.000,99368.260,99367.295,0.000,0.965,30.024,6.513,1
205,6176.950,103.900,0.000,99825.090,99824.108,0.000,0.982,29.950,3.950,1
206,6207.309,103.940,0.000,100300.180,100299.165,0.000,1.015,30.043,4.236,1
207,6237.434,103.900,0.000,100762.370,100761.432,0.000,0.938,30.002,4.301,1
208,6267.445,103.850,0.000,101227.495,101226.534,0.000,0.961,30.001,4.343,1
209,6297.071,103.940,0.000,101705.285,101704.355,0.000,0.930,29.972,4.011,1
210,6327.136,103.900,0.000,102164.975,102163.972,0.000,1.003,30.050,3.964,1
211,6357.843,103.980,0.000,102641.605,102640.626,0.000,0.979,29.989,4.734,1
212,6386.858,103.850,0.000,103094.010,103093.067,0.000,0.943,29.976,3.783,1
213,6416.169,103.760,0.000,103559.870,103558.902,0.000,0.968,29.193,3.949,1
214,6447.547,103.980,0.000,104050.760,104049.792,0.000,0.968,31.146,4.124,1
215,6476.246,103.850,0.000,104496.165,104495.206,0.000,0.959,28.855,3.994,1
216,6507.153,103.940,0.000,104977.955,104976.974,0.000,0.981,30.789,4.124,1
217,6536.214,103.900,0.000,105437.645,105436.669,0.000,0.976,29.210,3.990,1
218,6566.065,103.900,0.000,105907.195,105906.271,0.000,0.924,29.981,3.823,1
219,6596.991,103.760,0.000,106362.355,106361.373,0.000,0.982,30.830,3.948,1
220,6626.922,103.900,0.000,106848.665,106847.689,0.000,0.976,29.185,4.701,1
221,6656.932,103.900,0.000,107309.215,107308.262,0.000,0.953,30.817,3.901,1
222,6686.318,103.900,0.000,107776.765,107775.782,0.000,0.983,29.175,4.147,1
223,6717.436,103.940,0.000,108247.855,108246.870,0.000,0.985,30.821,4.323,1
224,6746.349,103.900,0.000,108710.045,108709.085,0.000,0.960,29.152,4.112,1
225,6776.308,103.900,0.000,109179.595,109178.622,0.000,0.973,29.990,4.039,1
226,6806.147,103.980,0.000,109654.225,109653.263,0.000,0.962,30.091,3.859,1
227,6836.523,103.850,0.000,110106.630,110105.605,0.000,1.025,29.932,4.010,1
228,6866.105,103.900,0.000,110584.880,110583.907,0.000,0.973,29.985,3.900,1
229,6897.296,103.850,0.000,111045.505,111044.548,0.000,0.957,29.981,5.114,1
230,6926.157,103.850,0.000,111515.330,111514.335,0.000,0.995,30.035,3.946,1
231,6956.159,103.940,0.000,111990.620,111989.626,0.000,0.994,29.976,3.971,1
232,6986.235,103.810,0.000,112442.345,112441.370,0.000,0.975,30.096,3.933,1
233,7016.278,103.940,0.000,112927.495,112926.540,0.000,0.955,29.996,3.990,1
234,7046.652,103.900,0.000,113385.185,113384.205,0.000,0.980,29.910,4.455,1
235,7076.229,103.900,0.000,113854.735,113853.772,0.000,0.963,30.109,3.916,1
236,7107.399,103.900,0.000,114322.285,114321.314,0.000,0.971,29.986,5.104,1
237,7136.222,103.850,0.000,114785.410,114784.441,0.000,0.969,29.913,4.002,1
238,7166.655,103.900,0.000,115259.660,115258.684,0.000,0.976,30.118,4.301,1
239,7196.801,103.900,0.000,115724.710,115723.779,0.000,0.931,29.853,4.594,1
240,7226.189,103.940,0.000,116195.800,116194.868,0.000,0.932,30.116,3.895,1
241,7256.238,103.760,0.000,116645.600,116644.654,0.000,0.946,29.911,3.983,1
242,7286.288,103.810,0.000,117125.945,117124.969,0.000,0.976,30.191,3.886,1
243,7316.959,103.900,0.000,117598.555,117597.638,0.000,0.917,30.066,4.517,1
244,7346.200,103.850,0.000,118057.180,118056.191,0.000,0.989,29.716,4.059,1
245,7376.003,103.900,0.000,118531.430,118530.476,0.000,0.954,29.987,3.838,1
246,7406.127,103.940,0.000,119000.020,118999.097,0.000,0.923,30.077,3.902,1
247,7436.051,103.810,0.000,119454.245,119453.281,0.000,0.964,29.925,3.901,1
248,7466.572,103.850,0.000,119931.430,119930.453,0.000,0.977,29.991,4.428,1
249,7496.938,103.900,0.000,120401.180,120400.200,0.000,0.980,30.073,4.726,1
250,7526.188,103.940,0.000,120869.770,120868.830,0.000,0.940,29.916,4.107,1
