iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
103,3131.901,-4.324615,2.143675,-95.507043,-95.521618,-95.521618,0.014575,29.963,4.453,0
104,3161.706,-4.324615,2.020475,-127.776693,-127.799518,-127.799518,0.022824,30.040,4.113,0
105,3191.321,-3.882874,1.946555,-107.553631,-107.535727,-107.535727,-0.017903,29.969,3.839,0
106,3221.774,-3.441162,1.724796,-108.946719,-108.930242,-108.930242,-0.016477,30.014,4.269,0
107,3251.632,-2.115997,1.576956,-40.549059,-40.556158,-40.556158,0.007099,29.986,4.142,0
108,3281.722,-1.232574,1.379837,-38.954061,-38.942324,-38.942324,-0.011737,30.091,4.176,0
109,3312.330,-0.349152,1.305917,-13.274889,-13.247168,-13.247168,-0.027721,30.034,4.744,0
110,3342.135,0.092590,1.207357,-19.484854,-19.502276,-19.502276,0.017422,30.085,4.432,0
111,3374.286,0.976013,1.182717,28.492786,28.466203,28.466203,0.026584,30.796,5.748,0
112,3404.283,1.417725,1.059518,24.617748,24.616504,24.616504,0.001244,30.011,5.810,0
113,3435.436,1.859436,1.059518,43.876598,43.855144,43.855144,0.021455,29.998,6.966,0
114,3463.320,1.859436,1.034878,30.147116,30.084017,30.084017,0.063099,30.025,4.859,0
115,3492.711,0.534302,1.034878,-63.749369,-63.754855,-63.754855,0.005486,29.975,4.216,0
116,3522.711,0.092590,1.034878,-42.212310,-42.169062,-42.169062,-0.043248,30.012,4.181,0
117,3552.648,-0.790863,0.862398,-95.735204,-95.780234,-95.780234,0.045030,29.991,4.220,0
118,3582.774,-1.232574,0.788478,-97.124783,-97.124140,-97.124140,-0.000644,30.021,4.255,0
119,3612.727,-2.115997,0.665278,-152.130104,-152.123772,-152.123772,-0.006332,30.001,4.273,0
120,3642.837,-2.115997,0.591359,-124.093767,-124.088000,-124.088000,-0.005767,30.000,4.309,0
121,3672.343,-1.232574,0.344959,-71.443693,-71.483707,-71.483707,0.040014,30.003,3.878,0
122,3702.437,-0.790863,0.246399,-79.443219,-79.444208,-79.444208,0.000989,30.053,3.858,0
123,3732.856,-0.349152,0.147840,-69.123330,-69.094099,-69.094099,-0.029231,30.042,4.258,0
124,3766.009,0.534302,-0.073920,-28.877122,-28.890620,-28.890620,0.013498,30.906,6.478,0
125,3794.183,0.976013,-0.246399,-35.023224,-35.038780,-35.038780,0.015556,30.000,4.657,0
126,3824.373,1.859436,-0.320319,13.609427,13.561463,13.561463,0.047963,30.004,4.844,0
127,3853.894,2.301178,-0.418879,12.758268,12.744882,12.744882,0.013386,30.002,4.344,0
128,3885.549,2.742889,-0.418879,34.002794,33.975328,33.975328,0.027467,30.038,5.895,0
129,3914.159,3.626312,-0.443519,88.149118,88.063638,88.063638,0.085480,29.984,4.578,0
130,3946.532,3.626312,-0.443519,61.907547,61.848597,61.848597,0.058949,31.163,5.836,0
131,3973.515,3.626312,-0.443519,70.928975,70.853950,70.853950,0.075025,28.808,4.013,0
132,4005.420,3.184601,-0.418879,47.858517,47.839748,47.839748,0.018769,31.556,4.368,0
133,4033.245,2.301178,-0.320319,10.819974,10.776746,10.776746,0.043228,28.473,3.661,0
134,4063.991,1.859436,-0.246399,21.119100,21.069089,21.069089,0.050011,30.037,4.341,0
135,4093.983,1.859436,-0.221759,44.006555,43.960084,43.960084,0.046471,29.998,4.312,0
136,4124.084,1.859436,-0.197120,49.374600,49.325202,49.325202,0.049397,30.062,4.417,0
137,4154.053,1.417725,-0.073920,25.100011,25.112311,25.112311,-0.012300,30.062,4.344,0
138,4184.600,1.417725,0.098560,51.644860,51.623830,51.623830,0.021029,30.015,4.835,0
139,4214.014,0.976013,0.147840,23.405212,23.382027,23.382027,0.023185,30.064,4.199,0
140,4245.118,0.976013,0.221759,45.827387,45.830613,45.830613,-0.003225,30.761,4.585,0
141,4276.968,0.976013,0.246399,48.883423,48.863119,48.863119,0.020304,29.992,6.371,0
142,4307.057,1.417725,0.369599,88.259639,88.262796,88.262796,-0.003157,30.001,6.432,0
143,4335.723,1.417725,0.418879,75.434000,75.407804,75.407804,0.026196,30.012,5.116,0
144,4364.766,1.417725,0.542079,82.950280,83.001396,83.001396,-0.051116,29.990,4.035,0
145,4395.842,1.417725,0.615999,88.625952,88.594515,88.594515,0.031438,30.024,5.330,0
146,4425.578,0.976013,0.763838,63.996032,63.946402,63.946402,0.049630,29.991,5.067,0
147,4455.427,0.976013,0.911678,88.630915,88.614068,88.614068,0.016847,30.002,4.883,0
148,4485.360,0.534302,1.034878,61.889046,61.832641,61.832641,0.056405,29.995,4.814,0
149,4514.818,0.092590,1.256637,55.059808,55.048047,55.048047,0.011761,30.003,4.260,0
150,4544.802,0.092590,1.379837,76.498069,76.490393,76.490393,0.007676,30.003,4.242,0
151,4575.124,-0.349152,1.576956,50.112788,50.081946,50.081946,0.030842,30.056,4.511,0
152,4605.965,-0.349152,1.774076,73.000598,72.922132,72.922132,0.078467,30.120,5.240,0
153,4653.713,-0.790863,1.921916,43.699801,43.706598,43.706598,-0.006798,30.011,22.894,0
154,4668.816,-1.674286,2.143675,0.664964,0.714279,0.714279,-0.049315,30.795,7.340,0
155,4697.760,-1.674286,2.316154,37.074314,37.060233,37.060233,0.014081,30.057,6.083,0
156,4730.239,-2.557739,2.340795,-32.398854,-32.422827,-32.422827,0.023973,29.966,8.531,0
157,4760.532,-2.999451,2.439354,-32.940166,-32.919086,-32.919086,-0.021080,30.052,8.589,0
158,4786.956,-3.441162,2.414714,-56.545108,-56.497216,-56.497216,-0.047893,30.012,5.065,0
159,4817.079,-3.882874,2.414714,-80.071726,-80.095702,-80.095702,0.023976,29.962,5.207,0
160,4848.921,-3.882874,2.414714,-71.868959,-71.853876,-71.853876,-0.015084,30.011,6.929,0
161,4876.051,-3.882874,2.414714,-81.334673,-81.327576,-81.327576,-0.007097,29.992,4.209,0
162,4908.160,-2.999451,2.365434,-26.616541,-26.607616,-26.607616,-0.008925,30.025,6.159,0
163,4937.444,-2.557739,2.291515,-38.606880,-38.629392,-38.629392,0.022512,29.971,5.596,0
164,4968.584,-1.674286,2.266875,2.782865,2.770861,2.770861,0.012004,30.035,6.667,0
165,4996.795,-1.232574,2.217595,-5.163986,-5.222951,-5.222951,0.058965,30.037,4.834,0
166,5027.869,-0.790863,2.217595,7.363168,7.350431,7.350431,0.012737,30.079,5.898,0
167,5057.179,-0.790863,2.217595,-12.060670,-12.061358,-12.061358,0.000687,30.091,4.952,0
168,5088.635,-0.349152,2.217595,19.091401,19.094552,19.094552,-0.003151,30.769,5.709,0
169,5117.742,-0.790863,2.217595,-32.135629,-32.146663,-32.146663,0.011035,30.001,4.923,0
170,5147.824,-0.349152,2.266875,18.316051,18.302033,18.302033,0.014017,30.011,4.949,0
171,5177.789,-0.790863,2.217595,-34.685059,-34.711543,-34.711543,0.026484,29.980,4.941,0
172,5207.994,-0.790863,2.242235,-17.808593,-17.852083,-17.852083,0.043489,30.006,5.204,0
173,5238.515,-0.790863,2.192955,-21.266615,-21.309190,-21.309190,0.042575,30.005,5.748,0
174,5268.141,-1.232574,2.192955,-55.784107,-55.835610,-55.835610,0.051504,29.989,5.364,0
175,5297.947,-1.674286,2.168315,-74.700934,-74.721357,-74.721357,0.020423,30.010,5.165,0
176,5327.770,-1.674286,2.045115,-65.005338,-65.024340,-65.024340,0.019003,30.010,4.907,0
177,5357.925,-1.674286,1.946555,-71.879277,-71.911613,-71.911613,0.032336,30.001,5.082,0
178,5388.902,-1.674286,1.897276,-77.205792,-77.189564,-77.189564,-0.016228,29.999,6.057,0
179,5418.046,-1.674286,1.847996,-82.685110,-82.669545,-82.669545,-0.015565,30.003,5.196,0
180,5450.464,-1.674286,1.749436,-89.800521,-89.838450,-89.838450,0.037928,30.073,7.538,0
181,5478.375,-1.232574,1.650876,-63.870405,-63.933800,-63.933800,0.063395,30.069,5.392,0
182,5507.782,-1.232574,1.552316,-87.421888,-87.476128,-87.476128,0.054240,30.093,4.793,0
183,5538.912,-0.790863,1.453757,-60.407245,-60.399227,-60.399227,-0.008018,30.779,5.131,0
184,5568.731,-0.349152,1.305917,-51.597824,-51.624129,-51.624129,0.026305,30.003,4.948,0
185,5598.603,0.092590,1.207357,-39.917590,-39.918601,-39.918601,0.001011,30.000,4.779,0
186,5629.392,0.092590,1.108797,-60.201715,-60.228581,-60.228581,0.026866,30.025,5.567,0
187,5658.546,0.534302,0.985598,-30.734023,-30.776733,-30.776733,0.042710,29.981,4.715,0
188,5689.006,0.534302,0.837758,-51.492095,-51.511292,-51.511292,0.019196,30.009,5.184,0
189,5719.472,0.976013,0.813118,-17.537159,-17.546542,-17.546542,0.009383,30.018,5.631,0
