Iteration,xc1,xc2,xc3,xc4,u,ElapsedTime(ms)
71,0.000000000000188,0.000000000000146,0.000000000000257,0.000000000000116,-0.000000000002139,14
72,-0.000000000000140,-0.000000000001479,0.000000000000014,-0.000000000001562,0.000000000001824,14
73,-0.000000000000489,0.000000000000024,-0.000000000000202,0.000000000000196,0.000000000001290,13
74,-0.000000000000241,0.000000000000990,0.000000000000018,0.000000000001116,-0.000000000001547,14
75,-0.000000000000078,-0.000000000000307,0.000000000000050,-0.000000000000848,0.000000000000751,13
76,-0.000000000000063,0.000000000000347,0.000000000000011,0.000000000000554,-0.000000000000808,14
77,-0.000000000000051,-0.000000000000274,0.000000000000114,0.000000000000055,-0.000000000001017,14
78,-0.000000000000383,-0.000000000001083,-0.000000000000128,-0.000000000001464,0.000000000002859,14
79,-0.000000000000345,0.000000000001202,-0.000000000000119,0.000000000001432,-0.000000000000883,13
80,0.000000000000042,0.000000000000407,0.000000000000134,0.000000000000156,-0.000000000001193,13
81,0.000000000000007,-0.000000000000568,-0.000000000000073,-0.000000000001333,0.000000000002348,16
82,0.000000000000204,0.000000000001341,0.000000000000005,0.000000000001706,-0.000000000002197,14
83,0.000000000000415,-0.000000000000430,0.000000000000230,-0.000000000000296,-0.
